16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1030052260_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1030307847
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1030307847_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1030405658
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1030405658_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1030928683
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1030928683_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1031237068
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1031237068_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1031393267
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1031393267_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 103413085
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 103413085_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1035560721
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1035560721_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 103644408
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 103644408_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 103848231
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 103848231_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 103954716
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 103954716_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 103993383
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 103993383_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10415489
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10415489_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 104359642
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 104359642_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 104528840
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 104528840_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 104665600
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 104665600_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 104805297
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 104805297_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 104890760
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 104890760_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105015862
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105015862_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105048442
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105048442_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105058540
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105058540_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105103304
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105103304_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105117536
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105117536_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105134135
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105134135_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1052027
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1052027_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10529875
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10529875_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105301957
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105301957_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105320817
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105320817_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 105327234
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 105327234_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10613448
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10613448_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10639203
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10639203_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10693192
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10693192_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10726059
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10726059_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10769273
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10769273_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10783381
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10783381_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10812222
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10812222_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 109088667
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 109088667_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 109259706
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 109259706_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 109313271
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 109313271_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 109525791
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 109525791_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 109871781
16:15:19 | INFO     | unificador |    Texto extraído: 0 caracteres
16:15:19 | INFO     | unificador |    Preview: ...
16:15:19 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 109871781_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1010178044
16:15:19 | INFO     | unificador |    Texto extraído: 2713 caracteres
16:15:19 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.427211 26000.000104 6 12960000018373 Be...
16:15:19 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 183.73
16:15:19 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10102327
16:15:20 | INFO     | unificador |    Texto extraído: 2699 caracteres
16:15:20 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.427211 31000.000104 1 12960000003596 Be...
16:15:20 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 35.96
16:15:20 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1010356558
16:15:20 | INFO     | unificador |    Texto extraído: 2709 caracteres
16:15:20 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.427211 32000.000102 1 12960000037840 Be...
16:15:20 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 378.4
16:15:20 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1010814895
16:15:20 | INFO     | unificador |    Texto extraído: 2709 caracteres
16:15:20 | INFO     | unificador |    Preview: Evite problemas: Não edite o código de barras ou pague o mesmo boleto duas vezes. Caso o boleto já tenha vencido, solicite um novo boleto. 529 52990.00108 90001.415869 03000.000103 7 12960000038283 Be...
16:15:20 | DEBUG    | unificador | [VALOR_BOLETO] Via rótulo (alternativo): 382.83
16:15:20 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 101090745
