15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 102831832_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10299644
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10299644_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1030052260
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1030052260_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1030307847
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1030307847_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1030405658
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1030405658_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1030928683
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1030928683_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1031237068
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1031237068_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1031393267
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1031393267_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 103413085
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 103413085_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 1035560721
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 1035560721_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 103644408
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 103644408_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 103848231
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 103848231_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 103954716
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 103954716_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 103993383
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 103993383_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 10415489
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 10415489_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 104359642
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 104359642_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 104528840
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 104528840_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 104665600
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 104665600_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
15:34:07 | DEBUG    | unificador | [UC_NOME] Encontrada no nome (antes do _): 104805297
15:34:07 | INFO     | unificador |    Texto extraído: 0 caracteres
15:34:07 | INFO     | unificador |    Preview: ...
15:34:07 | WARNING  | unificador | [VALOR_FATURA] Nenhum valor encontrado em 104805297_IGREJA DO EVANGELHO QUADRANGULAR_20251130.pdf
